Пасынок Сырского попросил Путина предоставить ему гражданство
СМИ: Макрон сменил тон по Украине ради поднятия престижа Франции
Глава МОК опасается агрессивных заявлений со стороны России
Журналиста из ФРГ поразила уничтоженная техника НАТО в зоне СВО
Любовь Успенская получила российское гражданство
Путин поручил обнародовать результаты по крушению Ил-76 к 1 июля
Захарова посоветовала главе Минобороны Британии искать Кейт Миддлтон
Минэнерго Украины: контракт с «Газпромом» на транзит газа не будет продлен
Вестминстерский дворец может рухнуть
Украинские войска нанесли удар по Донецку и Горловке
